ec,contest,sido,gusigun,emd,gubun,candidates,votes,top1,top2,total
3,전라남도,전라남도,해남군,송지면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1294|67|17|28|15,1294,67,1421
3,전라남도,전라남도,해남군,송지면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1181|111|20|27|11,1181,111,1350
3,전라남도,전라남도,해남군,북평면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,701|49|18|15|20,701,49,803
3,전라남도,전라남도,해남군,북평면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,540|43|36|17|12,540,43,648
3,전라남도,전라남도,해남군,북일면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,555|29|31|17|18,555,31,650
3,전라남도,전라남도,해남군,북일면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,328|26|11|17|14,328,26,396
3,전라남도,전라남도,해남군,옥천면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,718|77|16|26|5,718,77,842
3,전라남도,전라남도,해남군,옥천면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,541|70|21|28|9,541,70,669
3,전라남도,전라남도,해남군,계곡면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,595|33|17|14|7,595,33,666
3,전라남도,전라남도,해남군,계곡면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,331|33|14|10|5,331,33,393
3,전라남도,전라남도,해남군,마산면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,575|24|21|18|12,575,24,650
3,전라남도,전라남도,해남군,마산면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,462|33|20|10|12,462,33,537
3,전라남도,전라남도,해남군,황산면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1126|83|37|25|17,1126,83,1288
3,전라남도,전라남도,해남군,황산면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,883|87|38|28|14,883,87,1050
3,전라남도,전라남도,해남군,산이면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,764|51|20|19|12,764,51,866
3,전라남도,전라남도,해남군,산이면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,626|46|24|20|8,626,46,724
3,전라남도,전라남도,해남군,문내면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1092|92|31|28|11,1092,92,1254
3,전라남도,전라남도,해남군,문내면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,623|82|25|19|7,623,82,756
3,전라남도,전라남도,해남군,화원면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,931|60|15|13|12,931,60,1031
3,전라남도,전라남도,해남군,화원면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,542|65|15|17|7,542,65,646
3,전라남도,전라남도,진도군,진도읍,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,3060|350|106|103|84,3060,350,3703
3,전라남도,전라남도,진도군,진도읍,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1511|244|66|60|65,1511,244,1946
3,전라남도,전라남도,진도군,군내면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1242|146|55|40|41,1242,146,1524
3,전라남도,전라남도,진도군,군내면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,448|54|32|15|20,448,54,569
3,전라남도,전라남도,진도군,고군면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1039|94|48|36|33,1039,94,1250
3,전라남도,전라남도,진도군,고군면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,557|79|17|20|13,557,79,686
3,전라남도,전라남도,진도군,의신면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,1150|121|39|65|27,1150,121,1402
3,전라남도,전라남도,진도군,의신면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,507|89|41|31|22,507,89,690
3,전라남도,전라남도,진도군,임회면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,937|109|29|36|30,937,109,1141
3,전라남도,전라남도,진도군,임회면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,493|88|20|34|23,493,88,658
3,전라남도,전라남도,진도군,지산면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,810|114|48|29|24,810,114,1025
3,전라남도,전라남도,진도군,지산면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,448|90|21|17|21,448,90,597
3,전라남도,전라남도,진도군,조도면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,461|40|18|19|11,461,40,549
3,전라남도,전라남도,진도군,조도면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,533|74|35|18|20,533,74,680
3,전라남도,전라남도,영암군,영암읍,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,2057|209|56|92|46,2057,209,2460
